complaint_id,received_at,channel,complaint_text
CMP-2002,2026-08-28T09:12:00,app,Gulshan area e last 3 din dhore network nai. Ki hocche apnader?
CMP-2003,2026-08-28T09:41:00,email,I have been charged 299 taka twice for the same data pack. Fix this immediately or I am porting to another operator.
CMP-2004,2026-08-28T10:03:00,app,আমার ইন্টারনেট খুব ধীরে চলছে। মিরপুর এলাকায় সমস্যা।
CMP-2005,2026-08-28T10:22:00,call_center,Called customer care 4 times this week. Nobody resolves my issue. Absolutely terrible service.
CMP-2006,2026-08-28T11:05:00,app,Data pack kine felechi bhul kore. Refund possible?
CMP-2007,2026-08-28T11:30:00,call_center,My SIM stopped working after biometric update at the service centre in Uttara.
CMP-2008,2026-08-28T11:47:00,social_media,Signal is completely down in Chittagong Agrabad since morning. Office cannot work.
CMP-2009,2026-08-28T12:10:00,app,How do I check my remaining data balance?
CMP-2010,2026-08-28T12:35:00,call_center,Apnara amar theke extra charge korchen protidin. Ami GP te chole jabo.
CMP-2011,2026-08-28T13:01:00,app,Caller tune activate hoye geche ami request kori nai. Taka kete niyeche.
CMP-2012,2026-08-28T13:20:00,email,Network coverage in Savar industrial area is very poor during evening hours.
CMP-2013,2026-08-28T14:02:00,email,Bill amount is showing 1200 but my plan is 799. Please explain the difference.
CMP-2014,2026-08-28T14:33:00,call_center,আমার নাম্বার থেকে টাকা কেটে নিচ্ছে কোনো কারণ ছাড়া। এটা প্রতারণা।
CMP-2015,2026-08-28T15:00:00,app,Internet speed slow in Dhanmondi. Was fine last month.
CMP-2016,2026-08-28T15:18:00,app,I want to know the procedure for number portability.
CMP-2017,2026-08-28T15:44:00,call_center,Recharge korlam 200 taka but balance ashe nai. 2 ghonta hoye gelo.
CMP-2018,2026-08-28T16:09:00,social_media,Your app crashes every time I try to pay my bill. Useless.
CMP-2019,2026-08-28T16:30:00,social_media,Complete network outage in Sylhet Zindabazar. Third time this month. Switching to Banglalink.
CMP-2020,2026-08-28T17:02:00,app,Emergency balance nite parchi na keno? Amar to 2 bochor holo.
CMP-2021,2026-08-28T17:25:00,call_center,Someone has registered a SIM using my national ID without my knowledge. This is serious.
CMP-2022,2026-08-28T18:00:00,email,Please explain why my data pack expired before the validity date shown in the app.
CMP-2023,2026-08-28T18:21:00,app,Call drop হচ্ছে বারবার। Narayanganj area. খুব বিরক্তিকর।
CMP-2024,2026-08-28T18:40:00,app,"Thanks for resolving my billing issue quickly, the agent was very helpful."
CMP-2025,2026-08-28T19:05:00,email,I was promised a callback three days ago about my roaming charges. Still waiting.
CMP-2026,2026-08-28T19:33:00,app,SMS pack activate korte parchi na. Error dekhacche bar bar.
CMP-2027,2026-08-28T20:01:00,call_center,Tower down in Rangpur Modern More. Whole neighbourhood has no service.
CMP-2028,2026-08-28T20:24:00,email,My postpaid bill has a charge for a value added service I never subscribed to. Remove it.
CMP-2029,2026-08-28T20:50:00,social_media,4G speed khub kharap Bashundhara area te. Competitor onek valo.
CMP-2030,2026-08-28T21:12:00,app,How much does SIM replacement cost?
CMP-2031,2026-08-28T21:35:00,call_center,Automatic subscription hoye geche kono ekta service e. Ami cancel korte chai ekhoni.
